"","Text","Types","Tokens","Sentences","Program","Country"
"1","text1",440,917,30,"Doctorado","Brazil"
"2","text2",373,771,29,"Doctorado","Brazil"
"3","text3",485,1175,45,"Doctorado","Brazil"
"4","text4",282,571,24,"Doctorado","Brazil"
"5","text5",231,624,6,"Especialização","Brazil"
"6","text6",231,624,6,"Especialização","Brazil"
"7","text7",412,1097,25,"Maestría","Brazil"
"8","text8",412,1097,25,"Maestría","Brazil"
"9","text9",135,339,5,"Doctorado","Brazil"
"10","text10",494,1545,35,"Maestría","Brazil"
"11","text11",914,3080,72,"Doctorado","Brazil"
"12","text12",298,931,22,"Doctorado","Brazil"
"13","text13",702,2013,41,"Especialização","Brazil"
"14","text14",411,1097,25,"Maestría","Brazil"
"15","text15",548,1435,34,"Maestría","Brazil"
"16","text16",182,407,9,"Especialização","Brazil"
"17","text17",274,498,8,"Maestría","Brazil"
"18","text18",369,811,20,"Maestría","Brazil"
"19","text19",484,1119,10,"Doctorado","Brazil"
"20","text20",368,832,19,"Doctorado","Brazil"
"21","text21",312,714,16,"Maestría","Brazil"
"22","text22",351,848,5,"Especialização","Brazil"
"23","text23",169,283,6,"Maestría","Brazil"
"24","text24",425,988,26,"Maestría","Brazil"
"25","text25",439,927,13,"Especialização","Brazil"
"26","text26",369,742,13,"Especialização","Brazil"
"27","text27",437,961,12,"Maestría","Brazil"
"28","text28",431,903,14,"Especialização","Brazil"
"29","text29",407,839,11,"Especialização","Brazil"
"30","text30",521,1072,14,"Especialização","Brazil"
"31","text31",457,942,11,"Especialização","Brazil"
"32","text32",232,482,8,"Maestría","Brazil"
"33","text33",254,522,14,"Doctorado","Brazil"
"34","text34",372,1120,56,"Especialização","Brazil"
"35","text35",1310,4644,128,"Doctorado","Brazil"
"36","text36",204,582,11,"Maestría","Brazil"
"37","text37",587,1537,40,"Doctorado","Brazil"
"38","text38",335,902,12,"Maestría","Brazil"
"39","text39",1158,5424,142,"Doctorado","Brazil"
"40","text40",197,359,6,"Maestría","Brazil"
"41","text41",445,1128,22,"Doctorado","Brazil"
"42","text42",445,979,38,"Maestría","Brazil"
"43","text43",204,325,6,"Especialização","Brazil"
"44","text44",153,333,16,"Especialização","Brazil"
"45","text45",1539,5593,118,"Especialização","Brazil"
"46","text46",277,543,16,"Maestría","Brazil"
"47","text47",286,620,13,"Especialização","Brazil"
"48","text48",544,1340,39,"Doctorado","Brazil"
"49","text49",530,1284,44,"Doctorado","Brazil"
"50","text50",655,1632,31,"Especialização","Brazil"
"51","text51",430,1225,43,"Doctorado","Brazil"
"52","text52",329,786,13,"Maestría","Brazil"
"53","text53",250,487,9,"Doctorado","Brazil"
"54","text54",247,607,14,"Doctorado","Brazil"
"55","text55",310,634,16,"Doctorado","Brazil"
"56","text56",194,310,6,"Maestría","Brazil"
"57","text57",492,1254,28,"Doctorado","Brazil"
"58","text58",487,1409,24,"Doctorado","Brazil"
"59","text59",408,969,22,"Doctorado","Brazil"
"60","text60",314,663,17,"Doctorado","Brazil"
"61","text61",335,665,6,"Maestría","Brazil"
"62","text62",358,653,19,"Especialização","Brazil"
"63","text63",271,549,11,"Doctorado","Brazil"
"64","text64",406,987,23,"Maestría","Brazil"
"65","text65",432,1171,25,"Doctorado","Brazil"
"66","text66",227,410,10,"Doctorado","Brazil"
"67","text67",271,594,23,"Especialização","Brazil"
"68","text68",248,607,14,"Doctorado","Brazil"
"69","text69",109,188,5,"Doctorado","Brazil"
"70","text70",270,590,18,"Maestría","Brazil"
"71","text71",105,154,8,"Doctorado","Brazil"
"72","text72",105,203,6,"Doctorado","Brazil"
"73","text73",319,810,17,"Maestría","Brazil"
"74","text74",273,642,16,"Maestría","Brazil"
"75","text75",175,297,8,"Especialização","Brazil"
"76","text76",203,391,3,"Maestría","Brazil"
"77","text77",214,396,4,"Maestría","Brazil"
"78","text78",256,492,5,"Maestría","Brazil"
"79","text79",291,642,6,"Maestría","Brazil"
"80","text80",210,448,5,"Maestría","Brazil"
"81","text81",200,350,8,"Maestría","Brazil"
"82","text82",552,1321,24,"Maestría","Brazil"
"83","text83",239,481,7,"Doctorado","Brazil"
"84","text84",401,839,15,"Doctorado","Brazil"
"85","text85",303,619,14,"Doctorado","Brazil"
"86","text86",474,1075,19,"Doctorado","Brazil"
"87","text87",238,717,11,"Doctorado","Brazil"
"88","text88",605,1423,16,"Maestría","Brazil"
"89","text89",192,439,6,"Especialização","Brazil"
"90","text90",643,1547,45,"Maestría","Brazil"
"91","text91",254,473,8,"Especialização","Brazil"
"92","text92",3166,11818,611,"Doctorado","Brazil"
"93","text93",197,359,14,"Doctorado","Brazil"
"94","text94",208,344,9,"Especialização","Brazil"
"95","text95",266,489,6,"Especialização","Brazil"
"96","text96",223,454,11,"Doctorado","Brazil"
"97","text97",605,1423,16,"Maestría","Brazil"
"98","text98",537,1263,20,"Doctorado","Brazil"
"99","text99",577,1591,29,"Especialização","Brazil"
"100","text100",599,1382,26,"Maestría","Brazil"
"101","text101",283,542,10,"Especialização","Brazil"
"102","text102",276,564,8,"Doctorado","Brazil"
"103","text103",1806,7976,192,"Doctorado","Brazil"
"104","text104",180,373,3,"Doctorado","Brazil"
"105","text105",253,538,17,"Doctorado","Brazil"
"106","text106",258,575,15,"Doctorado","Brazil"
"107","text107",251,562,12,"Doctorado","Brazil"
"108","text108",271,624,19,"Doctorado","Brazil"
"109","text109",510,1208,29,"Doctorado","Brazil"
"110","text110",282,865,7,"Doctorado","Brazil"
"111","text111",532,1434,25,"Doctorado","Brazil"
"112","text112",294,682,20,"Doctorado","Brazil"
"113","text113",412,890,10,"Doctorado","Brazil"
"114","text114",290,721,17,"Doctorado","Brazil"
"115","text115",831,2708,57,"Maestría","Brazil"
"116","text116",135,236,5,"Doctorado","Brazil"
"117","text117",341,885,14,"Doctorado","Brazil"
"118","text118",236,445,13,"Maestría","Brazil"
"119","text119",479,958,52,"Doctorado","Brazil"
"120","text120",223,475,14,"Especialização","Brazil"
"121","text121",282,539,16,"Doctorado","Brazil"
"122","text122",455,1795,33,"Doctorado","Brazil"
"123","text123",229,528,11,"Doctorado","Brazil"
"124","text124",393,911,25,"Maestría","Brazil"
"125","text125",720,1996,63,"Doctorado","Brazil"
"126","text126",215,547,12,"Doctorado","Brazil"
"127","text127",430,1029,21,"Doctorado","Brazil"
"128","text128",237,445,17,"Maestría","Brazil"
"129","text129",365,908,95,"Doctorado","Brazil"
"130","text130",166,343,5,"Especialização","Brazil"
"131","text131",261,485,10,"Especialização","Brazil"
"132","text132",232,615,7,"Doctorado","Brazil"
"133","text133",677,2037,38,"Doctorado","Brazil"
"134","text134",366,1230,13,"Doctorado","Brazil"
"135","text135",474,1286,23,"Doctorado","Brazil"
"136","text136",421,1061,26,"Maestría","Brazil"
"137","text137",363,1031,14,"Maestría","Brazil"
"138","text138",436,1750,18,"Doctorado","Brazil"
"139","text139",788,2537,45,"Doctorado","Brazil"
"140","text140",751,2366,37,"Doctorado","Brazil"
"141","text141",131,326,5,"Maestría","Brazil"
"142","text142",846,1921,43,"Maestría","Brazil"
"143","text143",217,374,10,"Especialização","Brazil"
"144","text144",732,2140,49,"Doctorado","Brazil"
"145","text145",232,697,12,"Doctorado","Brazil"
"146","text146",204,406,8,"Maestría","Brazil"
"147","text147",468,1075,20,"Doctorado","Brazil"
"148","text148",223,797,16,"Especialização","Brazil"
"149","text149",192,502,4,"Doctorado","Brazil"
"150","text150",230,565,4,"Doctorado","Brazil"
"151","text151",508,1703,27,"Doctorado","Brazil"
"152","text152",258,569,6,"Doctorado","Brazil"
"153","text153",222,551,9,"Doctorado","Brazil"
"154","text154",259,678,15,"Doctorado","Brazil"
"155","text155",657,1865,61,"Especialização","Brazil"
"156","text156",162,423,8,"Doctorado","Brazil"
"157","text157",467,1075,20,"Doctorado","Brazil"
"158","text158",313,658,11,"Especialização","Brazil"
"159","text159",194,436,15,"Especialização","Brazil"
"160","text160",423,1025,15,"Doctorado","Brazil"
"161","text161",293,682,20,"Doctorado","Brazil"
"162","text162",344,799,9,"Especialização","Brazil"
"163","text163",320,707,9,"Especialização","Brazil"
"164","text164",497,1166,14,"Doctorado","Brazil"
"165","text165",383,894,14,"Maestría","Brazil"
"166","text166",573,1396,21,"Maestría","Brazil"
"167","text167",631,1808,18,"Doctorado","Brazil"
"168","text168",424,1025,15,"Doctorado","Brazil"
