"","active_listening","mathematics","reading_comprehension","science","speaking","writing","active_learning","critical_thinking","learning_strategy","monitoring"
"text1",0,0,0,3,0,0,0,0,0,1
"text2",0,0,0,1,0,0,1,0,0,1
"text3",1,0,0,10,0,0,0,0,0,2
"text4",0,0,0,0,0,0,0,0,0,2
"text5",0,0,1,0,1,0,0,0,0,0
"text6",0,0,1,0,1,0,0,0,0,0
"text7",0,0,0,2,0,0,0,0,0,0
"text8",0,0,0,2,0,0,0,0,0,0
"text9",0,0,0,1,0,0,0,0,0,0
"text10",0,0,2,13,0,0,0,0,0,0
"text11",2,0,3,22,0,0,1,0,1,1
"text12",0,0,1,10,0,0,0,0,1,0
"text13",2,0,0,15,0,0,2,0,0,0
"text14",0,0,0,2,0,0,0,0,0,0
"text15",0,0,0,1,1,0,0,0,0,0
"text16",0,0,0,2,0,0,0,0,0,0
"text17",1,0,0,2,0,0,1,0,0,0
"text18",0,0,0,3,1,0,0,0,0,0
"text19",0,0,0,3,0,0,0,0,3,1
"text20",1,0,1,2,0,0,0,0,0,0
"text21",0,0,0,2,0,0,0,0,1,0
"text22",5,0,0,3,1,0,0,0,0,0
"text23",0,0,0,3,1,0,0,0,0,1
"text24",4,0,1,0,0,0,0,0,1,0
"text25",2,0,1,9,3,0,0,0,0,0
"text26",2,0,1,5,2,0,0,0,0,0
"text27",2,10,1,16,3,0,0,0,1,0
"text28",2,1,1,11,2,0,0,0,2,0
"text29",2,0,1,12,2,0,0,0,0,1
"text30",2,0,1,13,3,0,1,0,0,0
"text31",2,0,1,10,3,0,0,0,0,0
"text32",0,0,1,2,0,0,0,0,0,0
"text33",0,0,1,1,0,0,0,0,0,0
"text34",0,0,1,1,3,0,0,1,0,0
"text35",0,0,0,16,1,0,1,0,0,0
"text36",0,0,0,1,0,0,2,0,0,0
"text37",1,0,0,1,1,0,0,0,4,0
"text38",0,0,0,4,0,0,0,0,0,0
"text39",5,0,4,13,1,0,2,0,2,0
"text40",0,0,0,1,0,0,0,0,0,0
"text41",0,0,0,1,0,0,0,0,2,0
"text42",0,0,1,0,0,0,0,0,0,0
"text43",0,0,0,1,0,0,0,0,0,0
"text44",0,0,0,0,0,0,0,0,0,0
"text45",2,0,4,8,2,1,5,1,7,2
"text46",0,0,1,2,0,0,0,0,0,0
