"","Source","Target","Weight","Country"
"1","ARG_text1","science",11,"Argentina"
"2","ARG_text1","speaking",1,"Argentina"
"3","ARG_text2","reading_comprehension",1,"Argentina"
"4","ARG_text2","science",1,"Argentina"
"5","ARG_text2","active_learning",1,"Argentina"
"6","ARG_text3","science",1,"Argentina"
"7","ARG_text3","speaking",2,"Argentina"
"8","ARG_text4","active_listening",1,"Argentina"
"9","ARG_text4","reading_comprehension",1,"Argentina"
"10","ARG_text4","science",5,"Argentina"
"11","ARG_text4","speaking",2,"Argentina"
"12","ARG_text5","reading_comprehension",1,"Argentina"
"13","ARG_text5","science",1,"Argentina"
"14","ARG_text5","speaking",2,"Argentina"
"15","ARG_text6","science",7,"Argentina"
"16","ARG_text6","speaking",1,"Argentina"
"17","ARG_text7","science",2,"Argentina"
"18","ARG_text8","active_listening",1,"Argentina"
"19","ARG_text8","science",1,"Argentina"
"20","ARG_text8","speaking",1,"Argentina"
"21","ARG_text9","active_listening",1,"Argentina"
"22","ARG_text9","science",2,"Argentina"
"23","ARG_text9","speaking",1,"Argentina"
"24","ARG_text9","active_learning",1,"Argentina"
"25","ARG_text9","critical_thinking",1,"Argentina"
"26","ARG_text10","science",2,"Argentina"
"27","ARG_text10","speaking",4,"Argentina"
"28","ARG_text10","critical_thinking",1,"Argentina"
"29","ARG_text10","learning_strategy",2,"Argentina"
"30","ARG_text12","science",3,"Argentina"
"31","ARG_text12","speaking",1,"Argentina"
"32","ARG_text13","science",1,"Argentina"
"33","ARG_text13","speaking",1,"Argentina"
"34","ARG_text14","active_listening",1,"Argentina"
"35","ARG_text14","mathematics",1,"Argentina"
"36","ARG_text14","reading_comprehension",1,"Argentina"
"37","ARG_text14","science",14,"Argentina"
"38","ARG_text15","science",7,"Argentina"
"39","ARG_text15","speaking",1,"Argentina"
"40","ARG_text15","critical_thinking",1,"Argentina"
"41","ARG_text16","reading_comprehension",1,"Argentina"
"42","ARG_text16","science",10,"Argentina"
"43","ARG_text17","active_listening",2,"Argentina"
"44","ARG_text17","reading_comprehension",1,"Argentina"
"45","ARG_text17","science",7,"Argentina"
"46","ARG_text18","mathematics",1,"Argentina"
"47","ARG_text18","science",9,"Argentina"
"48","ARG_text18","critical_thinking",1,"Argentina"
"49","ARG_text19","science",8,"Argentina"
"50","ARG_text20","active_listening",1,"Argentina"
"51","ARG_text20","reading_comprehension",2,"Argentina"
"52","ARG_text20","science",12,"Argentina"
"53","ARG_text20","speaking",1,"Argentina"
"54","ARG_text21","science",3,"Argentina"
"55","ARG_text22","science",2,"Argentina"
"56","ARG_text22","speaking",1,"Argentina"
